"id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
9406530150,"20141222T000000",344000,4,2.5,2400,4848,2,0,0,3,8,2400,0,2004,0,98038,47.3626,-122.04,1980,5199
2770604575,"20150506T000000",560000,3,1.75,1930,6000,1,0,0,3,8,1130,800,1956,0,98119,47.6516,-122.375,1870,6000
8143000280,"20141121T000000",478000,3,1.75,1210,6175,1,0,0,3,7,1210,0,1976,0,98034,47.7291,-122.202,1520,7475
7701950060,"20140729T000000",940000,4,2.5,3160,39960,1,0,0,3,10,3160,0,1980,0,98005,47.6418,-122.157,3900,36444
7625703800,"20150424T000000",560000,3,2,1300,6000,1,0,0,5,7,1300,0,1943,0,98136,47.5482,-122.392,1230,6000
3262300485,"20150421T000000",2250000,5,5.25,3410,8118,2,0,0,3,11,3410,0,2006,0,98039,47.6295,-122.236,3410,16236
4309700190,"20140724T000000",725000,4,2.5,3300,28433,2,0,0,3,9,3300,0,1998,0,98059,47.5072,-122.112,3550,26386
8651402660,"20141008T000000",175409,4,1.5,1450,5530,1,0,0,4,6,1450,0,1969,0,98042,47.3613,-122.087,1060,5200
2872100445,"20140624T000000",615000,2,1,1270,5000,1,0,0,3,8,1090,180,1949,0,98117,47.6828,-122.393,1640,5000
3260570260,"20141204T000000",550000,4,3.5,3540,4750,2,0,0,3,10,3540,0,2003,0,98055,47.473,-122.193,3310,5655
3905081520,"20150325T000000",625000,4,2.75,2390,6979,2,0,0,3,8,2390,0,1993,0,98029,47.5703,-121.996,2090,6321
9178601000,"20140730T000000",715000,3,2,1760,5400,1,0,0,5,7,1160,600,1927,0,98103,47.6558,-122.331,1640,5400
1446110020,"20140910T000000",405000,5,3.5,3672,9742,2,0,0,3,9,3006,666,2006,0,98092,47.3255,-122.192,2140,9118
1982201595,"20150121T000000",541000,3,1.75,1630,1166,2,0,0,3,8,1020,610,2013,0,98107,47.6646,-122.367,1420,1670
8860500300,"20140718T000000",330000,3,2.5,1870,4657,2,0,0,3,8,1870,0,2000,0,98055,47.4615,-122.214,2290,4795
3475000080,"20140828T000000",710000,3,2,1780,9732,1,0,0,3,8,1780,0,1967,0,98040,47.5796,-122.229,1900,10200
7686204750,"20150121T000000",205000,4,1.5,1420,8063,1,0,0,3,7,940,480,1962,0,98198,47.4174,-122.316,1330,7515
5127001600,"20141106T000000",331500,4,1.75,1820,14319,1,0,0,4,7,1820,0,1969,0,98059,47.4757,-122.148,1440,10018
6799300270,"20140806T000000",310950,4,2.5,2030,4997,2,0,0,3,8,2030,0,2004,0,98031,47.393,-122.184,2095,5500
8149600265,"20150514T000000",725000,4,1.75,1980,5850,1,0,1,4,8,1380,600,1960,0,98116,47.5607,-122.391,1810,5850
3298201290,"20141224T000000",370000,3,1,940,7910,1,0,0,4,6,940,0,1959,0,98008,47.6181,-122.117,1000,7700
1773101050,"20150220T000000",290000,3,1,960,4560,1,0,0,4,7,960,0,1968,0,98106,47.5539,-122.365,970,4800
3524039224,"20140513T000000",870000,4,2.5,3520,6773,2.5,0,0,3,9,2650,870,2006,0,98136,47.5317,-122.391,2930,6458
1421069159,"20141110T000000",520000,3,2.5,2280,58712,2.5,0,3,3,9,2280,0,1987,0,98010,47.3053,-122,2240,24332
2946000751,"20140724T000000",230000,3,1,1300,14000,1,0,0,4,7,1300,0,1958,0,98198,47.4213,-122.322,1390,8750
6790830060,"20140915T000000",949950,4,3.75,4120,8258,2,0,0,3,10,4120,0,2012,0,98075,47.5872,-122.055,3730,8332
6873000150,"20141208T000000",465000,2,2.25,1390,1222,3,0,0,3,7,1340,50,2009,0,98052,47.6754,-122.121,1480,1369
2123049194,"20150409T000000",199950,3,1.5,1370,10317,1.5,0,0,3,6,1370,0,1958,0,98168,47.4731,-122.298,1370,9884
8563000130,"20140717T000000",445000,3,1.75,1490,10844,1,0,0,3,7,1210,280,1974,0,98008,47.6208,-122.106,2090,9944
6979970080,"20140513T000000",525000,3,3.5,2876,5086,2,0,0,3,8,2360,516,2007,0,98072,47.7511,-122.173,2390,4419
9320350020,"20140630T000000",490000,4,3,2330,3497,2,0,0,3,9,1920,410,2003,0,98108,47.554,-122.308,2330,5242
7230300060,"20140805T000000",370000,4,2.5,2190,17600,1,0,0,4,7,1110,1080,1966,0,98059,47.4712,-122.112,1820,17600
9528101061,"20140825T000000",580000,4,3.5,1460,951,3,0,0,3,8,1460,0,2008,0,98115,47.6821,-122.326,1430,1282
301400940,"20150407T000000",265000,3,2.25,1489,2800,2,0,0,3,7,1489,0,2012,0,98002,47.3454,-122.214,1584,2800
7567600030,"20150127T000000",750000,5,1.75,2640,13290,1,1,4,4,8,1400,1240,1954,0,98178,47.5022,-122.223,2400,11942
1328330190,"20140714T000000",320000,3,1.75,2000,9760,1,0,0,4,8,1400,600,1978,0,98058,47.4417,-122.134,1890,8089
424069233,"20140531T000000",660000,3,2.25,2675,40910,2,0,0,3,8,2675,0,1984,0,98075,47.5916,-122.055,2300,39438
7853302180,"20150409T000000",451000,4,2.5,2320,5375,2,0,0,3,7,2320,0,2006,0,98065,47.5415,-121.883,2060,5395
5100403952,"20150225T000000",440000,2,1,1090,4128,1,0,0,3,7,1090,0,1948,0,98115,47.696,-122.314,1090,5413
4147200040,"20150414T000000",1085000,5,2.25,3650,13068,1,0,0,4,10,1850,1800,1976,0,98040,47.5458,-122.231,2760,13927
2461900790,"20150313T000000",560000,4,1.75,2120,6250,1,0,0,5,7,1060,1060,1917,0,98136,47.5506,-122.385,1410,6250
3574300250,"20141029T000000",294000,5,2.75,1790,5000,1.5,0,0,4,7,1060,730,1915,0,98106,47.5655,-122.363,1400,5000
4139470010,"20141006T000000",1615000,4,3.25,4250,12281,2,0,4,3,12,3020,1230,1996,0,98006,47.5507,-122.113,4940,12941
8562790480,"20141006T000000",654000,3,2.5,2220,2873,2,0,0,3,10,2010,210,2012,0,98027,47.5311,-122.074,2290,3213
3904901520,"20141030T000000",447000,3,2.25,1440,4667,2,0,0,3,7,1440,0,1985,0,98029,47.5662,-122.017,1610,4756
4137000070,"20150410T000000",319950,3,2.5,2240,7500,2,0,0,3,8,2240,0,1985,0,98092,47.265,-122.22,2190,7506
9136100056,"20140528T000000",875000,3,2.75,2280,4280,1,0,0,5,7,1280,1000,1917,0,98103,47.6685,-122.335,1650,4280
1854750010,"20140820T000000",1150000,3,2.5,4190,9624,2,0,0,3,10,4190,0,1999,0,98006,47.5642,-122.127,3650,8321
1133000694,"20150312T000000",325000,4,1.75,1670,9500,1,0,0,3,7,1670,0,1976,0,98125,47.7254,-122.31,1620,9500
6163901382,"20140515T000000",400000,3,1,1630,10304,1,0,0,5,7,1630,0,1953,0,98155,47.7548,-122.317,1480,8515
7549800543,"20140612T000000",300000,3,3.25,1470,1235,2,0,0,3,7,1180,290,2008,0,98108,47.5537,-122.313,1470,1243
8079010220,"20141117T000000",440000,4,2.5,2350,7203,2,0,0,3,8,2350,0,1989,0,98059,47.5123,-122.151,2260,7274
2767704525,"20150327T000000",608000,3,2.75,2610,5000,2,0,0,4,7,1710,900,1946,0,98107,47.6729,-122.373,1500,5000
